ID,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Class,Break_Condition,Pre_Stress,Pre_PANAS_1,Pre_PANAS_2,Pre_PANAS_3,Pre_PANAS_4,Pre_PANAS_5,Pre_PANAS_6,Pre_PANAS_7,Pre_PANAS_8,Pre_PANAS_9,Pre_PANAS_10,Pre_PANAS_11,Pre_PANAS_12,Pre_PANAS_13,Pre_PANAS_14,Pre_PANAS_15,Pre_PANAS_16,Pre_PANAS_17,Pre_PANAS_18,Pre_PANAS_19,Pre_PANAS_20,Break_Condition_3,Break_Condition_5,Break_Condition_6,Break_Condition_7,Break_Condition_1,Break_Condition_2,Break_Condition_4,Break_Condition_8,Break_Condition_8_TEXT,Post_Stress,Post_PANAS_1,Post_PANAS_2,Post_PANAS_3,Post_PANAS_4,Post_PANAS_5,Post_PANAS_6,Post_PANAS_7,Post_PANAS_8,Post_PANAS_9,Post_PANAS_10,Post_PANAS_11,Post_PANAS_12,Post_PANAS_13,Post_PANAS_14,Post_PANAS_15,Post_PANAS_16,Post_PANAS_17,Post_PANAS_18,Post_PANAS_19,Post_PANAS_20,Usual_Break_3,Usual_Break_5,Usual_Break_6,Usual_Break_7,Usual_Break_1,Usual_Break_2,Usual_Break_4,Usual_Break_8,Usual_Break_8_TEXT,Importance_1,Importance_2,Gender,Gender_7_TEXT,Ethnic_ID,Ethnic_ID_8_TEXT,Open_End,SC0,Pre_PANAS_PosAfSum,Pre_PANAS_NegAfSum,Post_PANAS_PosAfSum,Post_PANAS_NegAfSum,filter_$
1,10/22/2024 9:53:43,10/22/2024 10:11:41,0,100,1077,1,10/22/2024 10:11:42,R_58xBcRxsY9bdKUx,qr,EN,1,11,3,1,3,1,3,1,3,1,1,1,2,2,1,2,1,3,1,2,2,1,2,1,1, , , , , , , , ,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,1, ,1, , , , , , ,13,13,1, ,4, , ,100,24,10,19,10,1
2,10/22/2024 9:53:40,10/22/2024 10:12:01,0,100,1100,1,10/22/2024 10:12:01,R_7LPCkMpaOcqwCyt,qr,EN,1,11,3,3,2,2,1,3,2,4,3,1,1,2,2,2,3,2,3,2,2,1,2,3, , , , , , ,1, , ,2,2,2,2,2,2,2,2,1,2,2,1,2,1,3,2,2,2,1,2,2, ,1, , , , ,1, , ,12,4,1, ,1, , ,124,18,25,21,16,1
3,10/22/2024 9:53:48,10/22/2024 10:12:05,0,100,1096,1,10/22/2024 10:12:05,R_7LwKEZ4fPgpF0WI,qr,EN,1,11,3,2,2,1,1,1,1,1,1,1,1,4,1,2,1,4,2,5,5,2,1,1, ,1,1, , , ,1, , ,1,1,1,2,1,1,1,1,1,1,3,1,1,1,3,1,2,3,1,1,1,1,1, , , , , , , ,13,13,1, ,1, , ,111,26,12,18,10,1
4,10/22/2024 9:54:34,10/22/2024 10:12:21,0,100,1066,1,10/22/2024 10:12:21,R_1Yh2qHUFV5pgNr0,qr,EN,1,11,3,2,4,2,3,1,1,1,2,1,4,3,1,3,1,3,4,3,3,3,2,1, , , , , ,1,1, , ,2,3,1,2,1,3,1,1,1,4,3,1,3,1,3,2,3,3,2,2,1,1, , , , , , , , ,12,11,1, ,2, , ,130,29,17,29,12,1
5,10/22/2024 9:53:53,10/22/2024 10:12:23,0,100,1109,1,10/22/2024 10:12:24,R_12KH1eaHkmK8x0K,qr,EN,1,11,3,3,3,1,2,1,2,1,1,1,3,3,1,3,1,3,2,4,4,1,2,1, ,1, , , , ,1, , ,1,4,1,4,1,3,1,1,1,4,3,1,4,1,4,1,3,4,1,4,1,1,1,1, ,1,1,1, , ,12,12,1, ,1, , ,149,29,11,37,10,1
6,10/22/2024 9:53:43,10/22/2024 10:12:24,0,100,1120,1,10/22/2024 10:12:26,R_3DZdOsoHDdKJjHQ,qr,EN,1,11,3,2,3,1,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1, ,1, , , , ,1, , ,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1, , ,1, , , ,1, , ,13,12,1, ,1, , ,108,19,12,16,12,1
7,10/22/2024 9:53:43,10/22/2024 10:12:25,0,100,1122,1,10/22/2024 10:12:26,R_3lfsa3IiHlOpKNB,qr,EN,1,11,3,3,3,2,1,1,3,1,3,2,1,2,3,2,1,2,2,2,2,2,2,2, , ,1,1, ,1, , , ,2,3,1,2,1,2,1,1,1,2,2,1,3,1,2,2,2,3,2,3,1, ,1,1,1, , , , , ,12,12,2, ,1, , ,128,20,19,24,12,1
8,10/22/2024 9:53:48,10/22/2024 10:12:31,0,100,1122,1,10/22/2024 10:12:31,R_1KpZOjZEuzVOZiL,qr,EN,1,11,3,5,5,1,2,4,2,3,3,2,2,2,4,2,3,2,4,3,3,3,3,4, , , , , , ,1, , ,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , ,1, , ,4,12,1, ,4, , ,165,26,31,30,29,1
9,10/22/2024 9:53:46,10/22/2024 10:12:41,0,100,1135,1,10/22/2024 10:12:42,R_5YPvVpfRHm6JWYP,qr,EN,1,11,3,3,3,2,3,1,2,1,1,1,3,3,1,2,1,3,1,2,2,2,2,1, , , , , ,1,1, , ,2,3,1,3,1,2,1,1,1,3,2,1,3,1,2,1,3,3,1,2,1, , ,1, , , ,1, , ,13,13,1, ,4, , ,131,25,12,26,10,1
10,10/22/2024 9:53:57,10/22/2024 10:12:45,0,100,1128,1,10/22/2024 10:12:46,R_70lRwsVeUN1Duql,qr,EN,1,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1, , , , , , ,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , ,1, , ,1,1,8, ,9, , ,86,13,12,10,10,1
